AllCCS ID,Name,Structure,Formula,Type,Adduct,m/z,CCS,Confidence level,Update date
AllCCS00014855,Thiouracil,C1=CNC(=S)NC1=O,C4H4N2OS,Experimental CCS,[M+H]+,129.0117,119.9,3,2022-10-08
AllCCS00014863,Acenaphthene,C1CC2=CC=CC3=C2C1=CC=C3,C12H10,Experimental CCS,M+,154.0778,128.5,3,2022-10-07
AllCCS00014921,Coronene,C1=CC2=C3C4=C1C=CC5=C4C6=C(C=C5)C=CC7=C6C3=C(C=C2)C=C7,C24H12,Experimental CCS,M+,300.0934,161.9,3,2022-10-07
AllCCS00014929,Decabromodiphenyl oxide,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br,C12Br10O,Experimental CCS,[M-Br+O]-,886.2554,205.2,3,2022-10-07
AllCCS00014997,1-Methylphenanthrene,CC1=CC=CC2=C1C=CC3=CC=CC=C32,C15H12,Experimental CCS,M+,192.0934,137.8,3,2022-10-07
AllCCS00015066,Triphenylene,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,C18H12,Experimental CCS,M+,228.0934,144.8,3,2022-10-07
AllCCS00015431,Cylindrospermopsin,C[C@H]1[C@H](C[C@@H]2C[C@@H](NC3=NC[C@H]1N23)[C@H](C4=CC(=O)NC(=O)N4)O)OS(=O)(=O)O,C15H21N5O7S,Experimental CCS,[M+H]+,416.1235,199.4,3,2022-10-08
AllCCS00015488,Dibenzothiophene,C1=CC=C2C(=C1)C3=CC=CC=C3S2,C12H8S,Experimental CCS,M+,184.0342,132.3,3,2022-10-07
AllCCS00015489,Methylone,CC(C(=O)C1=CC2=C(C=C1)OCO2)NC,C11H13NO3,Experimental CCS,[M+H]+,208.0968,147.1,3,2022-10-08
AllCCS00015489,Methylone,CC(C(=O)C1=CC2=C(C=C1)OCO2)NC,C11H13NO3,Experimental CCS,[M-H2O+H]+,190.0862,136.2,3,2022-10-08
AllCCS00015573,Steviol,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O)(C)C(=O)O,C20H30O3,Experimental CCS,[M+H]+,319.2268,173.4,3,2022-10-08
AllCCS00016110,3'-Hydroxyflavone,C1=CC=C2C(=C1)C(=O)C=C(O2)C3=CC(=CC=C3)O,C15H10O3,Experimental CCS,[M-H]-,237.0557,154.4,3,2022-10-07
AllCCS00016285,D-allo-Isoleucine,CC[C@H](C)[C@H](C(=O)O)N,C6H13NO2,Experimental CCS,[M+H]+,132.1019,133.1,3,2022-10-07
AllCCS00016555,"1-Octadecanoyl-2-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycero-3-phosphoethanolamine",CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,C45H82NO8P,Experimental CCS,[M-H]-,794.5705,283.7,3,2022-10-12
AllCCS00016590,Olmesartan,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,C24H26N6O3,Experimental CCS,[M+H]+,447.2139,208.0,2,2022-10-07
AllCCS00016590,Olmesartan,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,C24H26N6O3,Experimental CCS,[M+Na]+,469.1959,213.4,3,2022-10-07
AllCCS00016790,Tulathromycin A,CCCNC[C@@]1([C@@H](O[C@H](C[C@@]1(C)OC)O[C@H]2[C@@H]([C@H]([C@](C[C@H](CN[C@@H]([C@H]([C@]([C@H](OC(=O)[C@@H]2C)CC)(C)O)O)C)C)(C)O)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)C)C)O,C41H79N3O12,Experimental CCS,[M+H]+,806.5737,286.4,3,2022-10-08
AllCCS00016826,Taurocholic Acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,C26H45NO7S,Experimental CCS,[M-H2O+H]+,498.2884,204.6,3,2022-10-07
AllCCS00016826,Taurocholic Acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,C26H45NO7S,Experimental CCS,[M+H-2H2O]+,480.2778,200.7,3,2022-10-07
AllCCS00016826,Taurocholic Acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,C26H45NO7S,Experimental CCS,[M+Na]+,538.281,214.9,Conflict,2022-10-07
AllCCS00016826,Taurocholic Acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,C26H45NO7S,Experimental CCS,[M-H]-,514.2844,209.1,2,2022-10-07
AllCCS00016852,12-Ketodeoxycholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC(=O)[C@]12C)[C@H](C)CCC(O)=O,C24H38O4,Experimental CCS,[M+Na]+,413.2663,204.2,3,2022-10-07
AllCCS00016852,12-Ketodeoxycholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC(=O)[C@]12C)[C@H](C)CCC(O)=O,C24H38O4,Experimental CCS,[M-H]-,389.2697,204.8,3,2022-10-07
AllCCS00016913,18-Hydroxycortisol,[H][C@@]12CC[C@@](O)(C(=O)CO)[C@@]1(CO)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C21H30O6,Experimental CCS,[M+H]+,379.2115,188.6,3,2022-10-08
AllCCS00016913,18-Hydroxycortisol,[H][C@@]12CC[C@@](O)(C(=O)CO)[C@@]1(CO)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C21H30O6,Experimental CCS,[M-H2O+H]+,361.2009,185.3,3,2022-10-08
AllCCS00016913,18-Hydroxycortisol,[H][C@@]12CC[C@@](O)(C(=O)CO)[C@@]1(CO)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C21H30O6,Experimental CCS,[M+Na]+,401.1935,200.4,3,2022-10-08
AllCCS00016913,18-Hydroxycortisol,[H][C@@]12CC[C@@](O)(C(=O)CO)[C@@]1(CO)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C21H30O6,Experimental CCS,[2M+Na]+,779.3978,277.9,3,2022-10-08
AllCCS00016949,3-Oxocholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,C24H38O5,Experimental CCS,[M-H2O+H]+,389.2686,186.2,3,2022-10-07
AllCCS00016949,3-Oxocholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,C24H38O5,Experimental CCS,[M+H-2H2O]+,371.258,182.5,3,2022-10-07
AllCCS00016949,3-Oxocholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,C24H38O5,Experimental CCS,[M+Na]+,429.2612,200.1,2,2022-10-07
AllCCS00016949,3-Oxocholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,C24H38O5,Experimental CCS,[M-H]-,405.2646,202.5,3,2022-10-07
AllCCS00016972,Chenodeoxycholic acid disulfate,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](C[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)OS(O)(=O)=O)[C@H](C)CCC(O)=O,C24H40O10S2,Experimental CCS,[M-H]-,551.199,207.6,3,2022-10-07
AllCCS00016972,Chenodeoxycholic acid disulfate,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](C[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)OS(O)(=O)=O)[C@H](C)CCC(O)=O,C24H40O10S2,Experimental CCS,[M-SO3-H2O+HCOO]-,499.2371,219.1,3,2022-10-07
AllCCS00016972,Chenodeoxycholic acid disulfate,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](C[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)OS(O)(=O)=O)[C@H](C)CCC(O)=O,C24H40O10S2,Experimental CCS,[M-SO3-H]-,471.2422,203.9,3,2022-10-07
AllCCS00016972,Chenodeoxycholic acid disulfate,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](C[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)OS(O)(=O)=O)[C@H](C)CCC(O)=O,C24H40O10S2,Experimental CCS,[M-SO3-H2O-H]-,453.2316,203.1,3,2022-10-07
AllCCS00016972,Chenodeoxycholic acid disulfate,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](C[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)OS(O)(=O)=O)[C@H](C)CCC(O)=O,C24H40O10S2,Experimental CCS,[M-2SO3-2H2O+H]+,357.2789,186.9,3,2022-10-07
AllCCS00016973,Epietiocholanolone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@@H](O)CC[C@]12C,C19H30O2,Experimental CCS,[M-H2O+H]+,273.2213,167.8,2,2022-10-08
AllCCS00016973,Epietiocholanolone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@@H](O)CC[C@]12C,C19H30O2,Experimental CCS,[M+H-2H2O]+,255.2107,162.9,3,2022-10-08
AllCCS00016973,Epietiocholanolone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@@H](O)CC[C@]12C,C19H30O2,Experimental CCS,[M+Na]+,313.2139,200.9,3,2022-10-08
AllCCS00016973,Epietiocholanolone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@@H](O)CC[C@]12C,C19H30O2,Experimental CCS,[2M+Na]+,603.4385,262.5,3,2022-10-08
AllCCS00017006,Epitestosterone,[H][C@@]12CC[C@@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C19H28O2,Experimental CCS,[M+H]+,289.2162,172.4,3,2022-10-08
AllCCS00103540,TG(17:1(9Z)/17:1(9Z)/17:1(9Z)),C(OC(=O)CCCCCCC/C=C\CCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O,C54H98O6,Experimental CCS,[M+NH4]+,860.7702,315.1,3,2022-10-12
AllCCS00104700,TG(16:0/22:0/22:1(13Z))[iso6],C(OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,C63H120O6,Experimental CCS,[M+NH4]+,990.9424,344.8,3,2022-10-12
AllCCS00104834,TG(17:0/22:0/22:1(13Z))[iso6],C(OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O,C64H122O6,Experimental CCS,[M+NH4]+,1004.958,348.0,3,2022-10-12
AllCCS00104984,"TG(17:0/22:0/22:2(13Z,16Z))[iso6]",C(OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O,C64H120O6,Experimental CCS,[M+NH4]+,1002.9424,345.4,3,2022-10-12
AllCCS00105032,TG(18:0/22:0/22:1(13Z))[iso6],C(OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,C65H124O6,Experimental CCS,[M+NH4]+,1018.9737,349.5,3,2022-10-12
AllCCS00105170,"TG(18:0/22:0/22:2(13Z,16Z))[iso6]",C(OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,C65H122O6,Experimental CCS,[M+NH4]+,1016.958,348.5,3,2022-10-12
AllCCS00105477,"TG(20:0/22:1(13Z)/22:2(13Z,16Z))[iso6]",C(OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCCCC)=O,C67H124O6,Experimental CCS,[M+NH4]+,1042.9737,351.5,3,2022-10-12
AllCCS00106312,"TG(12:0/13:0/20:2(11Z,14Z))[iso6]",C(OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O,C48H88O6,Experimental CCS,[M+NH4]+,778.692,299.5,3,2022-10-12
AllCCS00106317,"TG(12:0/13:0/22:2(13Z,16Z))[iso6]",C(OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O,C50H92O6,Experimental CCS,[M+NH4]+,806.7233,305.2,3,2022-10-12
AllCCS00106391,"TG(12:0/15:0/22:4(7Z,10Z,13Z,16Z))[iso6]",C(OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O,C52H92O6,Experimental CCS,[M+NH4]+,830.7233,308.5,3,2022-10-12
AllCCS00108302,"TG(15:0/22:0/22:2(13Z,16Z))[iso6]",C(OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCC)=O,C62H116O6,Experimental CCS,[M+NH4]+,974.9111,340.6,3,2022-10-12
AllCCS00109860,PC(10:0/10:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC)=O)COC(CCCCCCCCC)=O,C28H56NO8P,Experimental CCS,[M+H]+,566.3817,245.4,1,2022-10-07
AllCCS00109860,PC(10:0/10:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC)=O)COC(CCCCCCCCC)=O,C28H56NO8P,Experimental CCS,[M+CH3COO]-,624.3882,253.6,1,2022-10-07
AllCCS00109868,PC(10:0/22:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCC)=O,C40H80NO8P,Experimental CCS,[M+H]+,734.5695,278.4,3,2022-10-07
AllCCS00109868,PC(10:0/22:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCC)=O,C40H80NO8P,Experimental CCS,[M+Na]+,756.5515,280.6,3,2022-10-07
AllCCS00109868,PC(10:0/22:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCC)=O,C40H80NO8P,Experimental CCS,[M+HCOO]-,778.5604,286.8,3,2022-10-07
AllCCS00109870,PC(10:0/24:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCC)=O,C42H84NO8P,Experimental CCS,[M-H+2Na]+,806.5648,286.1,3,2022-10-07
AllCCS00109881,PC(12:0/12:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O,C32H64NO8P,Experimental CCS,[M+H]+,622.4443,258.4,1,2022-10-07
AllCCS00109881,PC(12:0/12:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O,C32H64NO8P,Experimental CCS,[M+CH3COO]-,680.4508,264.6,1,2022-10-07
AllCCS00109882,PC(12:0/14:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O,C34H68NO8P,Experimental CCS,[M+HCOO]-,694.4665,272.4,3,2022-10-12
AllCCS00109902,"PC(14:0/18:2(11Z,14Z))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\C/C=C\CCC)=O)COC(CCCCCCCCCCCCC)=O,C40H76NO8P,Experimental CCS,[M+Na]+,752.5202,276.9,3,2022-10-07
AllCCS00109911,PC(16:0/12:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,C36H72NO8P,Experimental CCS,[M+HCOO]-,722.4978,277.1,3,2022-10-12
AllCCS00109913,PC(16:0/17:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,C41H82NO8P,Experimental CCS,[M+HCOO]-,792.576,291.2,3,2022-10-12
AllCCS00109915,PC(16:0/18:1(11E)),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C/CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,C42H82NO8P,Experimental CCS,[M+Na]+,782.5671,292.0,3,2022-10-12
AllCCS00109915,PC(16:0/18:1(11E)),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C/CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,C42H82NO8P,Experimental CCS,[M+HCOO]-,804.576,293.1,3,2022-10-12
AllCCS00109919,"PC(16:0/18:2(10E,12Z))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCC/C=C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,C42H80NO8P,Experimental CCS,[M+H]+,758.5695,279.5,3,2022-10-07
AllCCS00109919,"PC(16:0/18:2(10E,12Z))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCC/C=C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,C42H80NO8P,Experimental CCS,[M+Na]+,780.5515,283.1,3,2022-10-07
AllCCS00109919,"PC(16:0/18:2(10E,12Z))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCC/C=C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,C42H80NO8P,Experimental CCS,[M+K]+,796.5254,283.3,3,2022-10-07
AllCCS00109919,"PC(16:0/18:2(10E,12Z))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCC/C=C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,C42H80NO8P,Experimental CCS,[M+HCOO]-,802.5604,289.3,3,2022-10-07
AllCCS00109919,"PC(16:0/18:2(10E,12Z))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCC/C=C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,C42H80NO8P,Experimental CCS,[M+Cl]-,792.5315,289.4,3,2022-10-07
AllCCS00109921,"PC(16:0/18:2(2E,4E))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(/C=C/C=C/CCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,C42H80NO8P,Experimental CCS,[M+Na]+,780.5515,288.8,3,2022-10-12
AllCCS00109921,"PC(16:0/18:2(2E,4E))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(/C=C/C=C/CCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,C42H80NO8P,Experimental CCS,[M+HCOO]-,802.5604,290.9,3,2022-10-12
AllCCS00109931,"PC(16:0/20:4(5E,8E,11E,14E))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C/C/C=C/C/C=C/C/C=C/CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,C44H80NO8P,Experimental CCS,[M+HCOO]-,826.5604,294.4,3,2022-10-12
AllCCS00109932,"PC(16:0/22:6(4E,7E,10E,13E,16E,19E))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CC)=O)COC(CCCCCCCCCCCCCCC)=O,C46H80NO8P,Experimental CCS,[M+HCOO]-,850.5604,296.0,3,2022-10-07
AllCCS00109932,"PC(16:0/22:6(4E,7E,10E,13E,16E,19E))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CC)=O)COC(CCCCCCCCCCCCCCC)=O,C46H80NO8P,Experimental CCS,[M+Cl]-,840.5315,296.1,3,2022-10-07
AllCCS00109944,PC(16:1(9E)/16:1(9E)),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C/CCCCCC)=O)COC(CCCCCCC/C=C/CCCCCC)=O,C40H76NO8P,Experimental CCS,[M+H]+,730.5382,287.1,3,2022-10-07
AllCCS00109944,PC(16:1(9E)/16:1(9E)),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C/CCCCCC)=O)COC(CCCCCCC/C=C/CCCCCC)=O,C40H76NO8P,Experimental CCS,[M+Na]+,752.5202,290.4,3,2022-10-07
AllCCS00109954,PC(17:0/18:1(9Z)),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O,C43H84NO8P,Experimental CCS,[M+H]+,774.6008,284.6,3,2022-10-07
AllCCS00109954,PC(17:0/18:1(9Z)),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O,C43H84NO8P,Experimental CCS,[M+Na]+,796.5828,287.1,3,2022-10-07
AllCCS00109973,"PC(18:0/18:2(10Z,12Z))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCC/C=C\C=C/CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,C44H84NO8P,Experimental CCS,[M+H]+,786.6008,285.9,3,2022-10-07
AllCCS00109973,"PC(18:0/18:2(10Z,12Z))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCC/C=C\C=C/CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,C44H84NO8P,Experimental CCS,[M+Na]+,808.5828,288.6,3,2022-10-07
AllCCS00109973,"PC(18:0/18:2(10Z,12Z))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCC/C=C\C=C/CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,C44H84NO8P,Experimental CCS,[M-H+2Na]+,830.5648,290.4,3,2022-10-07
AllCCS00109973,"PC(18:0/18:2(10Z,12Z))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCC/C=C\C=C/CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,C44H84NO8P,Experimental CCS,[M+K]+,824.5567,289.2,3,2022-10-07
AllCCS00109973,"PC(18:0/18:2(10Z,12Z))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCC/C=C\C=C/CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,C44H84NO8P,Experimental CCS,[M+HCOO]-,830.5917,295.4,3,2022-10-07
AllCCS00109973,"PC(18:0/18:2(10Z,12Z))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCC/C=C\C=C/CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,C44H84NO8P,Experimental CCS,[M+Cl]-,820.5628,295.1,3,2022-10-07
AllCCS00109974,"PC(18:0/18:2(2E,4E))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(/C=C/C=C/CCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,C44H84NO8P,Experimental CCS,[M+Na]+,808.5828,294.9,3,2022-10-12
AllCCS00109974,"PC(18:0/18:2(2E,4E))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(/C=C/C=C/CCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,C44H84NO8P,Experimental CCS,[M+HCOO]-,830.5917,297.1,3,2022-10-12
AllCCS00109987,"PC(18:0/20:3(5Z,11Z,14Z))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C\CCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,C46H86NO8P,Experimental CCS,[M+Na]+,834.5984,293.1,3,2022-10-07
AllCCS00109987,"PC(18:0/20:3(5Z,11Z,14Z))",[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C\CCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,C46H86NO8P,Experimental CCS,[M+Cl]-,846.5785,299.5,3,2022-10-07
AllCCS00109997,PC(18:1(11E)/18:1(11E)),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C/CCCCCC)=O)COC(CCCCCCCCC/C=C/CCCCCC)=O,C44H84NO8P,Experimental CCS,[M+HCOO]-,830.5917,297.1,3,2022-10-12
AllCCS00110010,PC(18:1(6Z)/18:1(6Z)),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCC/C=C\CCCCCCCCCCC)=O)COC(CCCC/C=C\CCCCCCCCCCC)=O,C44H84NO8P,Experimental CCS,[M+H]+,786.6008,302.0,3,2022-10-07
AllCCS00110010,PC(18:1(6Z)/18:1(6Z)),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCC/C=C\CCCCCCCCCCC)=O)COC(CCCC/C=C\CCCCCCCCCCC)=O,C44H84NO8P,Experimental CCS,[M+Na]+,808.5828,306.3,3,2022-10-07
